First Name,Last Name,Gender,Date of Birth,Contact Type
Dr.William,Benjamin,Male,7/26/63,Faculty
Patrick,Dunn,Male,05/05/2005,Student
Dr.Carolyn,Peters,Female,07/04/1982,Faculty
Dr.Richard,Clements,Male,12/31/55,Faculty
Michael,Baldwin,Male,12/04/2000,Student
Catherine,Wolf,Female,11/26/03,Student
Melissa,Sparks,Female,7/20/04,Student
William,Frederick,Male,03/11/2005,Student
Jessica,Wood,Female,03/01/2001,Student
John,Terry,Male,6/18/04,Student
Kendra,Buckley,Female,07/11/2001,Student
Joshua,Williams,Male,06/10/2002,Student
Laura,Singleton,Female,3/21/02,Student
Amber,Arias,Female,10/23/02,Student
Tiffany,Gardner,Female,3/29/02,Student
Erin,Hunter,Female,10/29/03,Student
Shannon,Lewis,Female,08/12/2000,Student
Micheal,Patterson,Male,10/15/00,Student
Dr.Luis,Russell,Male,08/10/1985,Faculty
Dr.Suzanne,Rodgers,Female,10/01/1966,Faculty
Craig,Delgado,Male,07/03/2001,Student
Amanda,Russell,Female,01/06/2001,Student
Darin,Brown,Male,11/29/02,Student
Sharon,Burton,Female,8/13/02,Student
Lori,Burns,Female,07/09/2005,Student
Mary,Moore,Female,02/10/2001,Student
Jonathan,Richardson,Male,12/31/01,Student
Karen,Kelley,Female,10/10/2000,Student
Ryan,Lee,Male,9/19/00,Student
Cody,Alexander,Male,9/24/01,Student
Dr.Gregory,Black,Male,7/28/82,Faculty
Christina,Smith,Female,06/12/2004,Student
Ryan,Johnson,Male,10/02/2004,Student
Matthew,Lamb,Male,6/22/02,Student
William,Hudson,Male,01/06/2005,Student
Sharon,Johnson,Female,3/15/01,Student
Tracy,Schmidt,Female,07/05/2005,Student
William,Gomez,Male,02/10/2004,Student
Chelsea,Campos,Female,7/14/05,Student
Dr.Richard,Rodriguez,Male,02/04/1958,Faculty
Robert,Clark,Male,04/02/2004,Student
Dr.Olivia,Lee,Female,10/22/54,Faculty
Jacob,Bowman,Male,6/17/03,Student
Holly,Patel,Female,8/23/04,Student
Louis,Anderson,Male,8/20/04,Student
David,Castro,Male,5/13/01,Student
Angela,Chen,Female,6/17/02,Student
Jennifer,Edwards,Female,02/08/2005,Student
Samantha,Benson,Female,7/25/04,Student
Kyle,Thomas,Male,01/05/2001,Student
Olivia,Grant,Female,1/20/03,Student
Katherine,Robinson,Female,11/02/2003,Student
Martin,Daniel,Male,11/06/2004,Student
Courtney,King,Female,10/08/2001,Student
Brian,Wood,Male,10/16/00,Student
James,Reynolds,Male,10/03/2003,Student
Brian,Crawford,Male,5/13/03,Student
Samantha,Boyer,Female,1/20/03,Student
Jessica,Mills,Female,8/23/00,Student
Dr.Tracy,Williams,Female,1/15/77,Faculty
Dr.Dana,Hahn,Female,08/11/1969,Faculty
Dr.Danny,Gonzalez,Male,5/21/57,Faculty
Matthew,Cruz,Male,4/24/05,Student
Jason,Small,Male,03/07/2002,Student
Dave,Vasquez,Male,6/13/02,Student
Dr.Monique,Smith,Female,10/14/80,Faculty
Lindsay,Mcclain,Female,04/08/2002,Student
Thomas,Chaney,Male,02/03/2002,Student
Dr.Veronica,Jones,Female,7/31/81,Faculty
Dr.Daniel,Olson,Male,01/04/1972,Faculty
Jamie,Simpson,Female,7/22/05,Student
Nancy,Williams,Female,5/23/02,Student
Rebecca,Le,Female,07/05/2004,Student
Dr.Marc,Nguyen,Male,04/07/1955,Faculty
David,Knox,Male,04/02/2005,Student
Linda,Cross,Female,01/06/2001,Student
Alexandra,Villa,Female,9/16/04,Student
Roy,Thomas,Male,2/20/05,Student
Daniel,Dennis,Male,09/05/2002,Student
Kevin,Johnson,Male,04/10/2002,Student
Dr.Jennifer,Decker,Female,11/28/82,Faculty
Kimberly,Glover,Female,7/16/05,Student
Lindsay,Owens,Female,5/17/05,Student
Kayla,Garcia,Female,8/15/00,Student
Juan,Atkinson,Male,11/15/04,Student
Megan,Jenkins,Female,5/21/05,Student
Dr.Hunter,Brown,Male,8/14/74,Faculty
Brandon,Bailey,Male,9/22/01,Student
Susan,Morris,Female,08/10/2000,Student
Crystal,Moore,Female,4/13/05,Student
Dennis,Fox,Male,12/10/2004,Student
Linda,Ortega,Female,5/23/03,Student
Dr.Brenda,Fisher,Female,11/07/1968,Faculty
Alexandra,Hernandez,Female,1/25/01,Student
Dr.Natalie,Stewart,Female,7/21/71,Faculty
Dr.Kelly,Morgan,Female,12/21/71,Faculty
Chloe,Thornton,Female,4/26/05,Student
Kenneth,Walker,Male,10/15/04,Student
Keith,Gonzalez,Male,12/20/01,Student
Heather,Jackson,Female,12/08/2001,Student
Sean,Parks,Male,12/22/01,Student
Dr.Justin,Davis,Male,08/12/1974,Faculty
Tina,Hansen,Female,12/06/2002,Student
Dr.Kenneth,Ayala,Male,02/02/1988,Faculty
Dr.Gregory,Powers,Male,9/14/57,Faculty
David,Mathis,Male,11/01/2003,Student
Antonio,Collins,Male,1/19/01,Student
Lisa,Gardner,Female,12/05/2003,Student
Sonya,Dickson,Female,12/04/2002,Student
Tammy,Atkinson,Female,3/14/05,Student
Christine,Levine,Female,01/04/2004,Student
Brandy,Turner,Female,05/06/2002,Student
Eugene,Kim,Male,1/27/04,Student
Amber,Lane,Female,6/28/04,Student
Dr.Garrett,Lewis,Male,8/26/57,Faculty
Lynn,Lynch,Female,8/20/01,Student
Miranda,Bailey,Female,6/25/04,Student
Dr.Nicole,Bailey,Female,02/12/1967,Faculty
Dr.Shannon,Marshall,Female,10/02/1966,Faculty
Sara,Charles,Female,6/13/02,Student
Timothy,Graham,Male,3/16/01,Student
Karen,Wells,Female,12/27/02,Student
Christine,Craig,Female,8/19/04,Student
Kristen,Shelton,Female,8/23/02,Student
John,Duncan,Male,10/07/2004,Student
Valerie,Holmes,Female,6/27/05,Student
Samantha,Armstrong,Female,11/07/2000,Student
Matthew,Barnett,Male,3/26/03,Student
Danielle,Summers,Female,02/02/2001,Student
Cynthia,Watson,Female,1/17/01,Student
Lynn,Gutierrez,Female,7/17/02,Student
Dr.Mark,Simpson,Male,01/06/1986,Faculty
Dr.Cynthia,Cisneros,Female,09/05/1962,Faculty
Dr.Marie,Yang,Female,08/01/1973,Faculty
Dr.Anthony,Small,Male,03/06/1987,Faculty
Mary,Powell,Female,11/07/2002,Student
Ruth,Rivera,Female,10/26/00,Student
Sara,Lewis,Female,7/23/05,Student
Rebecca,Stewart,Female,8/19/03,Student
Thomas,Fitzpatrick,Male,7/25/05,Student
Danielle,Jones,Female,06/11/2001,Student
Dr.Franklin,Webb,Male,12/13/73,Faculty
Matthew,Morris,Male,11/15/01,Student
Blake,Alexander,Male,01/10/2002,Student
Melanie,Cummings,Female,09/08/2004,Student
Tracy,Clark,Female,03/09/2001,Student
Dr.Amber,Hudson,Female,1/25/55,Faculty
Brian,Greer,Male,08/10/2000,Student
Zachary,Young,Male,5/19/01,Student
Dr.Donald,Richardson,Male,6/23/67,Faculty
Benjamin,Green,Male,02/02/2004,Student
Rebecca,Price,Female,11/24/01,Student
Mark,Marshall,Male,07/05/2002,Student
Jeffrey,Carroll,Male,2/20/05,Student
Larry,Liu,Male,11/10/2000,Student
James,Swanson,Male,5/22/04,Student
Tiffany,Nguyen,Female,3/16/04,Student
Dr.Amy,Holden,Female,04/05/1989,Faculty
David,Jones,Male,02/06/2004,Student
Laura,Gonzalez,Female,9/25/04,Student
Jesus,Meyer,Male,11/20/04,Student
April,Torres,Female,10/27/03,Student
Dr.Samantha,Mason,Female,06/04/1970,Faculty
Dr.Robert,Lewis,Male,9/22/64,Faculty
Carly,Shepard,Female,5/22/01,Student
Dr.Robert,Austin,Male,10/18/53,Faculty
Hayden,Hatfield,Male,5/24/05,Student
Marc,Robertson,Male,06/07/2002,Student
Anna,Hoffman,Female,8/16/04,Student
Manuel,Clarke,Male,2/14/04,Student
Sherri,Singh,Female,04/01/2005,Student
Mark,Reese,Male,1/30/03,Student
Carol,Robinson,Female,5/23/04,Student
Dr.Tracy,White,Female,09/12/1988,Faculty
Dr.Patricia,Taylor,Female,2/24/74,Faculty
Amanda,Coleman,Female,1/25/05,Student
Dr.Michael,Lewis,Male,6/20/80,Faculty
Dr.Stacy,Williams,Female,11/03/1973,Faculty
Rebecca,Lewis,Female,8/15/03,Student
Brian,Gonzalez,Male,6/21/04,Student
Dr.Michael,Lambert,Male,10/09/1987,Faculty
Matthew,Perez,Male,6/30/05,Student
Dr.Joanne,Jones,Female,2/16/74,Faculty
Christopher,Brown,Male,7/17/05,Student
Christina,Mcintosh,Female,1/31/01,Student
Ruben,Barnes,Male,04/10/2005,Student
Dr.Andrew,White,Male,3/14/85,Faculty
Alice,Allen,Female,3/29/02,Student
Sarah,Rojas,Female,12/20/02,Student
Luke,Willis,Male,11/06/2000,Student
Dr.Kristen,Brown,Female,09/09/1979,Faculty
Bonnie,Henry,Female,7/21/04,Student
Brandy,Carter,Female,11/10/2001,Student
Kevin,Richardson,Male,3/23/02,Student
Dr.Elaine,Castillo,Female,12/25/84,Faculty
James,Stanley,Male,06/04/2003,Student
Curtis,Hogan,Male,12/11/2004,Student
Dr.Justin,Thompson,Male,01/03/1981,Faculty
Jim,Hopkins,Male,12/15/02,Student
Nicole,Calhoun,Female,3/18/02,Student
Jasmine,Khan,Female,9/18/04,Student
Amy,Meadows,Female,1/17/01,Student
Dr.William,Reid,Male,8/17/80,Faculty
Laurie,Wood,Female,05/06/2004,Student
Christopher,Barnett,Male,1/20/04,Student
James,Graves,Male,2/17/02,Student
Nicholas,Richardson,Male,2/19/01,Student
Collin,Salinas,Male,08/04/2004,Student
Michael,Bradley,Male,11/24/01,Student
Joanna,Butler,Female,4/28/01,Student
Jacob,Meyers,Male,7/26/02,Student
Kristine,Contreras,Female,1/28/04,Student
Linda,Lee,Female,07/08/2005,Student
Aaron,Morgan,Male,03/09/2002,Student
Lindsey,Gonzalez,Female,2/15/03,Student
Dr.David,Davis,Male,1/21/60,Faculty
Robert,Pena,Male,1/25/02,Student
Hannah,Mccullough,Female,10/30/03,Student
Stephen,Zuniga,Male,10/30/01,Student
James,Brown,Male,4/13/01,Student
Thomas,Boyd,Male,05/08/2002,Student
Melissa,Maxwell,Female,12/15/01,Student
Teresa,Brown,Female,1/13/02,Student
Dr.Heather,Myers,Female,4/15/77,Faculty
Thomas,Lloyd,Male,09/03/2004,Student
Steven,George,Male,1/19/05,Student
Paul,Brown,Male,2/16/04,Student
Derek,Hines,Male,8/27/04,Student
Sally,Hubbard,Female,5/29/02,Student
Dr.Ann,Howell,Female,12/19/57,Faculty
Angela,Ramos,Female,10/25/00,Student
Deanna,Mcpherson,Female,5/26/03,Student
Robert,Mayer,Male,06/11/2003,Student
Jesse,Moore,Male,12/03/2000,Student
Andrew,White,Male,08/06/2003,Student
Dr.Tammy,Young,Female,11/19/76,Faculty
Dustin,Clark,Male,05/11/2004,Student
Kathy,Espinoza,Female,8/31/02,Student
Dr.Larry,Washington,Male,12/12/1962,Faculty
Vicki,Schwartz,Female,4/16/02,Student
Meghan,Garcia,Female,6/17/05,Student
Jeanne,Porter,Female,4/26/02,Student
Colton,Kemp,Male,04/02/2001,Student
Dr.Erin,Martinez,Female,8/22/77,Faculty
Monique,Ingram,Female,9/29/02,Student
Christopher,Gray,Male,12/01/2001,Student
Julie,Howard,Female,7/19/05,Student
Ronnie,Cox,Male,7/22/05,Student
Dr.Katherine,Perry,Female,5/23/81,Faculty
Christina,Robinson,Female,11/21/00,Student
Dr.Michelle,West,Female,6/28/74,Faculty
Dr.Angelica,Monroe,Female,12/23/74,Faculty
Susan,Thompson,Female,03/07/2003,Student
Barbara,Weeks,Female,4/20/03,Student
Kent,Hall,Male,8/14/00,Student
Timothy,Roberts,Male,8/26/04,Student
Michelle,Harrison,Female,7/21/02,Student
Duane,Robertson,Male,8/23/00,Student
Scott,Johnson,Male,11/11/2002,Student
Kelly,Church,Female,7/28/01,Student
Melissa,Wilkins,Female,5/14/05,Student
Jasmine,Mckinney,Female,8/21/01,Student
Ashley,Thompson,Female,05/02/2002,Student
Dr.Angela,Allen,Female,8/29/67,Faculty
Chad,Stark,Male,09/04/2004,Student
Ernest,Lambert,Male,10/02/2003,Student
Dr.Marie,Reynolds,Female,04/02/1964,Faculty
John,Smith,Male,10/06/2002,Student
Dr.Rebecca,Beasley,Female,11/01/1958,Faculty
Jessica,Hernandez,Female,09/07/2000,Student
Dr.Joseph,Romero,Male,9/23/68,Faculty
Rhonda,Perry,Female,12/01/2003,Student
Stephanie,Blake,Female,07/12/2003,Student
Michael,Lowe,Male,10/12/2004,Student
Justin,Simpson,Male,6/30/04,Student
James,Patel,Male,2/25/03,Student
Jeanette,Nelson,Female,5/19/02,Student
Jenna,Wood,Female,06/10/2003,Student
Eric,Potts,Male,5/26/01,Student
Laura,Jordan,Female,8/13/04,Student
Dr.Charles,Adkins,Male,10/16/63,Faculty
Nicole,Ortiz,Female,8/28/03,Student
Christopher,Mccormick,Male,7/25/02,Student
Tracy,Perez,Female,11/03/2002,Student
Alexander,Gross,Male,01/05/2005,Student
Casey,Odonnell,Male,12/08/2003,Student
Dr.Joel,Thompson,Male,2/13/76,Faculty
Amy,Guzman,Female,1/23/03,Student
Rebecca,Ellis,Female,12/15/01,Student
William,Sullivan,Male,3/15/03,Student
Jason,Smith,Male,07/05/2001,Student
Caitlyn,Banks,Female,6/21/02,Student
Dr.Brandon,Pena,Male,1/20/59,Faculty
James,Taylor,Male,02/10/2004,Student
Dr.Abigail,Rodriguez,Female,8/13/74,Faculty
Kyle,Rodriguez,Male,4/24/02,Student
Garrett,Johnson,Male,7/30/03,Student
Laurie,Rios,Female,12/20/01,Student
Amanda,Mcguire,Female,10/10/2001,Student
Dr.Joseph,Palmer,Male,2/25/73,Faculty
Sierra,Salinas,Female,03/08/2002,Student
Felicia,Fernandez,Female,2/24/02,Student
Dr.Brandy,Summers,Female,11/15/80,Faculty
Dr.Jason,Bruce,Male,04/06/1976,Faculty
Colin,Conley,Male,3/21/03,Student
Janet,Rojas,Female,11/29/03,Student
Russell,Berry,Male,11/23/00,Student
David,Wood,Male,1/20/05,Student
Dr.Peter,Cortez,Male,01/10/1959,Faculty
Ruth,Anthony,Female,03/03/2004,Student
Mary,Parker,Female,07/09/2003,Student
Jay,Lopez,Male,12/22/00,Student
Victoria,Stephens,Female,7/14/05,Student
John,Crawford,Male,06/05/2002,Student
Jeffrey,Roberson,Male,1/20/04,Student
Dr.Jason,Mitchell,Male,10/12/1975,Faculty
Jared,Allen,Male,5/21/03,Student
Tammy,Walker,Female,11/17/02,Student
Dr.Brian,Gaines,Male,7/19/87,Faculty
Mary,Fernandez,Female,11/13/00,Student
Monica,Guzman,Female,03/08/2005,Student
Dr.Lonnie,Rivera,Male,06/12/1975,Faculty
Dr.James,Smith,Male,1/26/60,Faculty
Jo,Williams,Female,09/07/2000,Student
John,David,Male,5/18/03,Student
Dawn,Robinson,Female,10/28/00,Student
Dustin,Holloway,Male,11/08/2003,Student
Christopher,Robertson,Male,11/12/2004,Student
Craig,Hamilton,Male,02/01/2001,Student
Timothy,Smith,Male,06/08/2003,Student
Charles,Campbell,Male,08/07/2001,Student
William,Martinez,Male,12/20/00,Student
Dr.Daniel,Lang,Male,5/26/54,Faculty
Kara,Thomas,Female,05/12/2005,Student
Brian,Goodwin,Male,02/04/2003,Student
Jennifer,White,Female,3/20/02,Student
Brenda,Hansen,Female,03/02/2001,Student
Karen,Taylor,Female,10/13/00,Student
James,Santos,Male,12/13/01,Student
Kendra,Brown,Female,12/22/03,Student
Dr.Lisa,Hooper,Female,12/20/82,Faculty
Jaime,Stephenson,Female,3/25/03,Student
Cheryl,Morton,Female,1/22/05,Student
Dr.Alicia,Pena,Female,1/13/80,Faculty
Holly,Buck,Female,11/20/00,Student
Mike,Castro,Male,01/11/2003,Student
Jason,Young,Male,03/09/2004,Student
Dr.Casey,Patterson,Female,04/01/1969,Faculty
Courtney,Robinson,Female,4/29/01,Student
Patricia,Williams,Female,12/09/2003,Student
Shelly,Rodgers,Female,04/04/2001,Student
Christopher,Johnson,Male,6/27/04,Student
Kayla,Morris,Female,10/22/00,Student
Trevor,Robinson,Male,7/21/02,Student
Dr.Ashley,Robinson,Female,1/26/62,Faculty
Mark,Torres,Male,10/20/04,Student
Erin,Weber,Female,07/09/2005,Student
Mary,Wallace,Female,2/19/05,Student
Dr.Patrick,Allen,Male,04/09/1982,Faculty
Jacob,Frey,Male,05/06/2005,Student
Jacob,Ferguson,Male,12/18/02,Student
Megan,Griffin,Female,03/03/2001,Student
Dr.Cody,Williamson,Male,06/06/1971,Faculty
Kevin,Solis,Male,2/18/01,Student
Dr.Tiffany,Fox,Female,7/27/61,Faculty
Rebecca,King,Female,12/11/2001,Student
Dr.Samantha,Riggs,Female,07/04/1973,Faculty
Sarah,Mcclain,Female,4/25/04,Student
Nicole,Lee,Female,9/27/01,Student
Tyler,Ortiz,Male,2/13/01,Student
Jennifer,Bowman,Female,12/05/2003,Student
Melissa,Garcia,Female,02/09/2002,Student
David,Sosa,Male,01/04/2002,Student
Hannah,Ortiz,Female,04/11/2001,Student
Jeffrey,Wade,Male,02/02/2001,Student
Alexander,Petty,Male,06/01/2001,Student
Jason,Martin,Male,02/04/2001,Student
Brian,Pennington,Male,1/15/03,Student
Carrie,Stephens,Female,08/11/2001,Student
Anne,Turner,Female,4/24/03,Student
Dr.Christian,Jacobs,Male,9/20/60,Faculty
Dr.Megan,Castro,Female,09/01/1987,Faculty
Jacob,Cherry,Male,05/05/2001,Student
Dana,Caldwell,Female,8/19/00,Student
Jesse,Mcdonald,Male,05/11/2003,Student
Martin,Wiggins,Male,05/11/2002,Student
Dr.Randy,Fisher,Male,1/13/66,Faculty
Dr.Stephanie,Nichols,Female,12/04/1953,Faculty
Kathleen,Brewer,Female,3/30/01,Student
Heather,Sullivan,Female,2/16/04,Student
Tiffany,Salazar,Female,6/19/01,Student
Dr.Eric,Hunter,Male,5/23/74,Faculty
Jessica,Sullivan,Female,03/06/2004,Student
Robert,Silva,Male,07/09/2005,Student
Diane,Powell,Female,01/09/2005,Student
Abigail,Patrick,Female,11/17/04,Student
Catherine,Wyatt,Female,6/30/03,Student
Gregory,Skinner,Male,12/23/03,Student
Rachel,Jacobs,Female,07/05/2005,Student
Sylvia,Avila,Female,09/08/2004,Student
Courtney,Medina,Female,5/19/02,Student
Stephanie,Hansen,Female,3/16/05,Student
Dr.Carlos,Gutierrez,Male,2/17/69,Faculty
Emily,Tucker,Female,2/15/03,Student
Tiffany,Parsons,Female,11/19/01,Student
Zachary,Sampson,Male,11/01/2004,Student
Kelly,Meyers,Female,3/14/02,Student
Eric,Mueller,Male,12/10/2000,Student
Larry,Ford,Male,9/25/00,Student
Richard,Turner,Male,2/17/02,Student
Ralph,Hall,Male,5/24/03,Student
Bryan,Santiago,Male,3/17/02,Student
Randall,Jackson,Male,01/10/2002,Student
Michael,Hernandez,Male,03/11/2005,Student
Dr.Emily,Hahn,Female,6/21/56,Faculty
Sandra,King,Female,08/11/2003,Student
Hannah,Nixon,Female,08/04/2004,Student
Jennifer,Tucker,Female,6/24/02,Student
William,Wood,Male,7/15/01,Student
Dr.Ashley,Williams,Female,12/12/1984,Faculty
Brenda,Arellano,Female,11/03/2000,Student
Stephanie,Gregory,Female,06/07/2001,Student
Dr.Rebecca,Collins,Female,06/05/1980,Faculty
Thomas,Allen,Male,10/23/04,Student
Anthony,Mcknight,Male,3/21/02,Student
Dr.Karen,Morris,Female,12/20/73,Faculty
Stephen,Webb,Male,08/09/2003,Student
Thomas,Mejia,Male,06/10/2001,Student
Dr.Matthew,Patterson,Male,07/03/1962,Faculty
Amanda,Vaughn,Female,12/21/00,Student
John,Mccann,Male,10/18/00,Student
Jacob,House,Male,12/15/01,Student
Todd,Baker,Male,2/24/02,Student
Sean,Fuller,Male,04/09/2005,Student
Dr.Brenda,Clark,Female,02/08/1965,Faculty
Timothy,Phillips,Male,04/06/2003,Student
Stephen,Garrett,Male,3/25/01,Student
Sheila,Chang,Female,1/29/03,Student
Dr.Nicole,Huang,Female,6/16/69,Faculty
Selena,Carney,Female,9/21/01,Student
Dr.Donna,Johnson,Female,9/17/80,Faculty
Hannah,Arroyo,Female,5/25/03,Student
Robert,Cook,Male,9/20/00,Student
Scott,Rice,Male,10/06/2000,Student
Rachel,Ewing,Female,11/23/01,Student
Sierra,Gray,Female,7/22/05,Student
Maureen,Richardson,Female,12/04/2001,Student
Craig,Erickson,Male,6/13/01,Student
Judy,Todd,Female,03/02/2005,Student
Christopher,Lyons,Male,9/20/04,Student
Megan,Smith,Female,4/14/03,Student
Jessica,Flores,Female,11/03/2003,Student
Laura,Harper,Female,01/05/2005,Student
Gary,Martinez,Male,10/05/2001,Student
Dr.Megan,Joseph,Female,10/29/69,Faculty
Beth,Payne,Female,09/12/2003,Student
Dr.Nicholas,Allen,Male,12/26/86,Faculty
Molly,Montoya,Female,09/05/2003,Student
Karen,Melton,Female,12/01/2004,Student
Adam,Johnson,Male,7/18/02,Student
Arthur,Nguyen,Male,02/06/2004,Student
Derek,Daniel,Male,5/21/04,Student
Brianna,Sharp,Female,10/15/02,Student
Donald,Vargas,Male,01/03/2001,Student
Andrew,Alexander,Male,10/21/01,Student
Gary,Sullivan,Male,11/11/2001,Student
Dr.Valerie,Atkins,Female,7/21/82,Faculty
Kristin,Moran,Female,8/27/03,Student
Lori,Mccoy,Female,7/22/05,Student
Ashley,Aguilar,Female,11/11/2001,Student
Carolyn,Smith,Female,04/09/2001,Student
Elizabeth,Moreno,Female,7/29/03,Student
Dr.Amy,Miller,Female,4/29/84,Faculty
James,Martin,Male,03/04/2003,Student
Anna,Burton,Female,09/09/2000,Student
Jessica,Tran,Female,10/13/01,Student
Mark,Gray,Male,2/27/01,Student
Calvin,Mathews,Male,6/30/04,Student
Matthew,Thomas,Male,04/12/2005,Student
Joshua,Medina,Male,3/21/04,Student
Jeffrey,Adkins,Male,05/11/2005,Student
Heather,Young,Female,04/10/2003,Student
Kathleen,Garcia,Female,05/07/2004,Student
Jeffrey,Meadows,Male,6/22/04,Student
Mark,Reed,Male,4/18/05,Student
Crystal,Macdonald,Female,05/07/2004,Student
Laura,Bates,Female,6/22/04,Student
David,Shaw,Male,07/04/2003,Student
Emily,Parker,Female,07/05/2002,Student
Stephanie,Dunn,Female,10/29/02,Student
Sandra,Nelson,Female,8/22/03,Student
Kyle,Scott,Male,02/07/2004,Student
Kelsey,Mason,Female,4/13/04,Student
Amanda,Green,Female,4/26/01,Student
Henry,Patterson,Male,7/17/03,Student
Alice,Copeland,Female,7/21/04,Student
Todd,Brown,Male,7/25/02,Student
Elizabeth,Flowers,Female,9/24/00,Student
Derek,Arnold,Male,06/12/2003,Student
Angel,Bradley,Female,8/20/00,Student
Ronald,Hebert,Male,12/27/02,Student
Matthew,Hudson,Male,6/21/03,Student
Dr.Shawn,Lowe,Male,6/13/67,Faculty
Dr.Crystal,Gilmore,Female,8/15/69,Faculty
Kenneth,Allen,Male,2/28/01,Student
Gerald,Taylor,Male,6/16/05,Student
Gwendolyn,Reynolds,Female,02/12/2002,Student
Juan,Cooper,Male,10/01/2000,Student
Angela,Shea,Female,7/18/04,Student
Dr.Brittany,Bowen,Female,10/22/81,Faculty
Dr.Richard,Woods,Male,7/16/69,Faculty
Dr.Jennifer,Ballard,Female,12/24/76,Faculty
Charles,Myers,Male,03/04/2004,Student
Adam,Norman,Male,08/09/2002,Student
Kayla,Griffin,Female,10/04/2000,Student
Jonathan,Watkins,Male,2/17/04,Student
Leah,Ryan,Female,11/11/2001,Student
Adrienne,Martinez,Female,07/09/2001,Student
Dr.Leah,Lee,Female,8/27/77,Faculty
Denise,Dyer,Female,1/23/03,Student
Dr.Jon,Cruz,Male,11/22/88,Faculty
Dr.Leslie,Knight,Female,12/21/58,Faculty
Susan,Robinson,Female,8/27/00,Student
Molly,Sanford,Female,01/09/2005,Student
Patricia,Wright,Female,04/09/2001,Student
David,Morales,Male,5/27/04,Student
Jacob,Blevins,Male,10/04/2000,Student
Gregory,Coleman,Male,6/27/05,Student
Mary,Day,Female,06/05/2003,Student
Dr.Matthew,Brown,Male,1/14/68,Faculty
Martha,Hernandez,Female,6/27/05,Student
Dr.Michelle,May,Female,5/17/81,Faculty
Ashley,Jenkins,Female,11/30/00,Student
Kevin,Jones,Male,01/02/2003,Student
Scott,Costa,Male,01/03/2003,Student
Jeremy,Jones,Male,10/30/03,Student
Julian,Frazier,Male,02/06/2003,Student
David,Jordan,Male,7/24/03,Student
Kenneth,Ross,Male,06/06/2001,Student
Douglas,Garcia,Male,02/07/2002,Student
David,Robinson,Male,7/29/04,Student
Virginia,Johnson,Female,02/07/2002,Student
Russell,Nguyen,Male,11/10/2004,Student
Melissa,Mitchell,Female,2/13/02,Student
Joshua,Durham,Male,12/23/04,Student
Dr.Thomas,Lopez,Male,5/30/81,Faculty
Thomas,Ramsey,Male,6/30/04,Student
Janet,Evans,Female,11/21/01,Student
Teresa,Gibson,Female,2/27/04,Student
Dr.Stephen,Peterson,Male,07/09/1977,Faculty
Kimberly,Mason,Female,7/24/01,Student
Devin,Waters,Male,05/02/2005,Student
Anne,Garcia,Female,7/14/01,Student
Steven,Robertson,Male,01/06/2004,Student
Dr.Ashley,Long,Female,10/20/56,Faculty
Caleb,Smith,Male,04/02/2001,Student
Carol,Jones,Female,2/16/04,Student
Tamara,Travis,Female,03/01/2002,Student
William,Kemp,Male,2/18/04,Student
Ashley,Brown,Female,5/16/01,Student
Alex,Mendez,Male,04/02/2001,Student
Dr.Arthur,Murphy,Male,3/25/60,Faculty
David,Smith,Male,07/06/2003,Student
Brett,Lee,Male,4/18/04,Student
Carolyn,Sherman,Female,2/13/02,Student
Kristine,Palmer,Female,1/14/01,Student
Vincent,Gonzalez,Male,8/26/04,Student
Dr.Christian,Garcia,Male,09/01/1963,Faculty
Nathan,Powell,Male,5/23/04,Student
Christina,Lloyd,Female,05/01/2002,Student
Karen,Stewart,Female,06/07/2004,Student
Dr.Danielle,Mathews,Female,6/21/55,Faculty
Rebecca,Edwards,Female,6/17/03,Student
Elizabeth,Adams,Female,01/04/2001,Student
Joseph,Smith,Male,2/13/01,Student
Dr.Sandra,Nicholson,Female,3/26/58,Faculty
Cody,Wallace,Male,8/27/01,Student
Dr.Ricky,Lynch,Male,04/05/1962,Faculty
Kim,Romero,Female,2/18/02,Student
Amanda,Moore,Female,3/19/03,Student
Melinda,Jones,Female,01/07/2002,Student
Shannon,Gonzalez,Female,09/03/2004,Student
Jamie,Wright,Female,3/28/02,Student
Amber,Brown,Female,01/05/2003,Student
Dr.Terry,Martinez,Male,2/26/75,Faculty
Teresa,Washington,Female,12/01/2004,Student
Karen,Diaz,Female,4/19/05,Student
Kayla,Johnston,Female,12/02/2000,Student
Amanda,Diaz,Female,5/18/03,Student
Dr.Jacob,Martin,Male,10/26/63,Faculty
Todd,Parker,Male,02/09/2002,Student
Michael,Brown,Male,07/08/2004,Student
Lacey,Weiss,Female,01/02/2005,Student
Jill,Jensen,Female,01/02/2005,Student
Patricia,Mcdaniel,Female,02/11/2003,Student
Elizabeth,Bush,Female,12/07/2002,Student
Derek,Garcia,Male,5/21/01,Student
Carol,Lopez,Female,8/29/00,Student
April,Le,Female,02/05/2001,Student
Eric,Rodgers,Male,08/05/2000,Student
Jerome,Smith,Male,12/24/04,Student
Denise,Duffy,Female,7/24/05,Student
Dr.Allen,Ball,Male,6/26/83,Faculty
Jonathan,Bishop,Male,06/07/2005,Student
Thomas,Cruz,Male,11/23/03,Student
Jaime,Allison,Male,08/02/2001,Student
Charles,Rodriguez,Male,05/09/2004,Student
Carrie,Moody,Female,7/25/04,Student
Maria,Williams,Female,12/08/2002,Student
Brian,Bruce,Male,4/20/02,Student
